model,phase,batch_size,prompt_length,tokens_per_sec,status
fp16,throughput,1,512,41.515605421681634,ok
fp16,throughput,4,512,133.11233199689497,ok
fp16,throughput,16,512,323.62360462379945,ok
fp16,oom_sweep,1,2048,,ok
fp16,oom_sweep,2,2048,,ok
fp16,oom_sweep,4,2048,,ok
fp16,oom_sweep,8,2048,,ok
fp16,oom_sweep,16,2048,,ok
fp16,oom_sweep,32,2048,,ok
int8,throughput,1,512,11.843271593049675,ok
int8,throughput,4,512,42.84314257556907,ok
int8,throughput,16,512,149.00481243403456,ok
int8,oom_sweep,1,2048,,ok
int8,oom_sweep,2,2048,,ok
int8,oom_sweep,4,2048,,ok
int8,oom_sweep,8,2048,,ok
int8,oom_sweep,16,2048,,ok
int8,oom_sweep,32,2048,,ok
gptq,throughput,1,512,5.669200781092988,ok
gptq,throughput,4,512,22.267105190184,ok
gptq,throughput,16,512,77.7508608847748,ok
gptq,oom_sweep,1,2048,,ok
gptq,oom_sweep,2,2048,,ok
gptq,oom_sweep,4,2048,,ok
gptq,oom_sweep,8,2048,,ok
gptq,oom_sweep,16,2048,,ok
gptq,oom_sweep,32,2048,,OOM
awq,throughput,1,512,4.06696351200122,ok
awq,throughput,4,512,11.140798445568455,ok
awq,throughput,16,512,11.628045663395874,ok
awq,oom_sweep,1,2048,,ok
awq,oom_sweep,2,2048,,ok
awq,oom_sweep,4,2048,,ok
awq,oom_sweep,8,2048,,ok
awq,oom_sweep,16,2048,,ok
awq,oom_sweep,32,2048,,ok
